X1	Offset Displacement	X2	Displacement #2	X3	Displacement #3
0.54714	145.80	0.32701	145.80	0.56119	145.80
0.52760	147.53	0.32995	147.53	0.56624	147.53
0.53248	147.09	0.33054	147.09	0.56724	147.09
0.52271	146.66	0.33113	146.66	0.56826	146.66
0.51783	146.23	0.33290	146.23	0.57128	146.23
0.51294	147.96	0.33406	147.96	0.57329	147.96
0.51783	147.53	0.33466	147.53	0.57431	147.53
0.54225	147.24	0.33466	147.24	0.57431	147.24
0.51783	146.81	0.33466	146.81	0.57431	146.81
0.51783	148.39	0.33642	148.39	0.57733	148.39
0.51783	147.96	0.33642	147.96	0.57733	147.96
0.52271	147.53	0.33642	147.53	0.57733	147.53
0.51294	147.24	0.33642	147.24	0.57733	147.24
0.51294	148.97	0.33760	148.97	0.57935	148.97
0.51294	148.53	0.33760	148.53	0.57935	148.53
0.51783	147.96	0.33760	147.96	0.57935	147.96
0.51783	147.67	0.33700	147.67	0.57833	147.67
0.51783	149.25	0.33878	149.25	0.58138	149.25
